品類,品類英文,子分類,子分類名,模板ID,模板名稱,英文名稱,比例,風格注入等級,提示詞
飾品,jewelry,common,通用場景,jewelry_02_selling_points,賣點標註圖,Feature Highlights,1:01,none,"Professional jewelry specification infographic on clean white background. Four-panel layout: Panel 1 shows overall piece at 15° angle with callouts to gemstone type and quality (4Cs). Panel 2 shows metal material detail with karat marking visible (18K, 925 sterling). Panel 3 shows clasp mechanism and security features. Panel 4 shows craftsmanship details (prong setting, milgrain edges). Clean elegant callout lines with minimal serif typography. Dual softbox lighting at 45° for even sparkle. NEGATIVE: No text clutter, no inconsistent angles, no harsh shadows."
飾品,jewelry,common,通用場景,jewelry_03_macro_detail,細節特寫,Macro Detail,1:01,light,"Ultra-macro jewelry photography at 2:1 magnification. Camera: Canon EOS R5 with MP-E 65mm f/2.8 1-5x Macro at 3x magnification, f/8, ISO 400, focus stacking 30+ frames. Details visible: Gemstone facets (57 facets on brilliant cut diamond), Pavilion and crown angles, Inclusion clarity characteristics, Prong setting precision, Metal surface polish (mirror finish). Lighting: Fiber optic dual-arm illuminator with diffusers. Cross-polarization to eliminate metal glare while maintaining gemstone sparkle. Background: Deep black velvet (#000000) for maximum contrast. NEGATIVE: No dust, no lint fibers, no smudges, no shallow depth of field."
飾品,jewelry,common,通用場景,jewelry_04_size_reference,尺寸參考圖,Size Reference,1:01,none,"Jewelry piece worn on model for precise size reference. Close-up of hand/finger/ear/neck showing jewelry in actual scale. Standard reference: US quarter coin or ruler visible in frame for measurement. Camera: 85mm portrait lens at f/4, ISO 200. Lighting: Soft natural window light with reflector fill for flattering skin tones. Background: Clean neutral beige. NEGATIVE: No distracting background elements, no inconsistent sizing."
飾品,jewelry,common,通用場景,jewelry_05_model_wearing,模特佩戴,Model Wearing,3:04,full,"High-fashion jewelry portrait with model. Camera: Hasselblad X2D with 100mm f/2.2 at f/2.8, ISO 100. Lighting: Large octabox key light at 45° with soft fill, hair light for separation, clean neutral gray backdrop. Model: Minimal makeup, simple solid clothing, elegant pose highlighting jewelry as focal point. Jewelry in critical sharp focus with sparkle visible. Shallow depth of field isolating subject. NEGATIVE: No competing accessories, no harsh shadows on jewelry, no overexposed highlights on metal."
飾品,jewelry,common,通用場景,jewelry_06_outfit_scene,穿搭場景,Outfit Styling,4:03,full,"Lifestyle jewelry photography with complete outfit. Model in elegant attire (silk blouse, little black dress) with jewelry as accent piece. Setting: Bright cafe or outdoor terrace. Camera: 70mm lens at f/2.8, natural daylight with diffuser. Composition: 3/4 body shot showing jewelry in context of full outfit. Warm, natural color grading. NEGATIVE: No cluttered background, no competing jewelry pieces."
飾品,jewelry,common,通用場景,jewelry_07_gift_box,禮盒搭配,Gift Box Pairing,1:01,full,"Luxury jewelry gift presentation. Jewelry nestled in velvet-lined box with satin ribbon. Soft romantic lighting with warm color temperature (4500K). Props: Dried flowers, rose petals for atmosphere. Camera: 60mm lens at f/4, soft directional light from 30° angle. Premium unboxing aesthetic with shallow depth of field. NEGATIVE: No harsh lighting, no cluttered composition."
飾品,jewelry,common,通用場景,jewelry_08_collection,多件展示,Collection Display,1:01,light,"Curated jewelry collection flat lay. Hero piece centered with complementary pieces arranged symmetrically. Clean white or soft gray marble surface. Overhead shot with even lighting from diffusion panel. All pieces in sharp focus showing how they complement each other. NEGATIVE: No inconsistent spacing, no color clashes."
飾品,jewelry,common,通用場景,jewelry_09_lifestyle,品牌氛圍圖,Brand Lifestyle,1:01,full,"Dreamy vanity table jewelry arrangement. Styled with perfume bottle, fresh peonies, silk fabric, small mirror. Warm golden hour lighting (3200K) creating romantic atmosphere. Camera: 50mm at f/2.0, low 20° angle for intimate perspective. Rich warm tones with golden highlights on jewelry. NEGATIVE: No clutter, no cool color tones."
服飾,clothing,common,通用場景,clothing_01_white_bg,白底主圖,White Background,3:04,none,"Professional fashion e-commerce photography on pure white background. Ghost mannequin or flat lay technique showing full garment shape. Camera: 50mm lens at f/8 for complete sharpness. Lighting: Dual strip softboxes at 45° for even, wrinkle-free illumination. Color temperature 5500K. Garment centered, occupying 85% of frame, no color cast. NEGATIVE: No visible wrinkles, no shadows, no background gradient."
服飾,clothing,common,通用場景,clothing_02_selling_points,賣點標註圖,Feature Highlights,3:04,none,"Fashion product infographic showing key features. Callouts to: Fabric composition and care, Special design elements (pockets, zippers, buttons), Fit and cut style, Functional features (stretch, waterproof). Clean modern typography with Scandinavian design aesthetic. Flat even lighting for detail visibility. NEGATIVE: No text clutter, no inconsistent angles."
服飾,clothing,common,通用場景,clothing_03_detail_closeup,細節特寫,Fabric & Detail Close-up,1:01,light,"Macro fabric texture photography. Extreme close-up showing: Weave pattern or knit structure, Stitching quality and seam finishing, Button/zipper hardware, Surface texture and hand-feel. Camera: 100mm macro at f/5.6 with directional side lighting to reveal texture. Focus stacking for complete sharpness. NEGATIVE: No lint, no wrinkles, no uneven lighting."
服飾,clothing,common,通用場景,clothing_04_size_reference,尺寸版型圖,Size & Fit Guide,3:04,none,"Technical flat lay with measurement reference. Garment laid flat with clear measurement points: shoulder width, chest, length, sleeve. Measuring tape visible for scale. Camera: Wide-angle at f/11, tripod at 90° overhead for corner-to-corner sharpness. Clean white background. NEGATIVE: No perspective distortion, no wrinkles affecting measurements."
服飾,clothing,common,通用場景,clothing_05_daily_scene,日常穿搭,Daily Outfit,3:04,full,"Lifestyle fashion photography in urban setting. Model wearing outfit in natural pose walking on city street or sitting in cafe. Camera: 85mm at f/2.8, natural daylight with shallow depth of field. Background softly blurred showing urban context. Warm, relatable atmosphere. NEGATIVE: No harsh shadows, no cluttered background."
服飾,clothing,common,通用場景,clothing_06_styled_scene,穿搭場景,Styled Look,3:04,full,"Fashion editorial style shot. Model in complete curated outfit at stylish location: rooftop, art gallery, boutique hotel. Professional lighting with key light and rim light. Camera: 70mm at f/4, slightly low angle for presence. Creative color grading conveying specific mood: sophisticated, casual-chic, or trendy. NEGATIVE: No distracting background elements."
服飾,clothing,common,通用場景,clothing_07_model_front_back,正反面展示,Front & Back View,3:04,full,"Full body fashion catalog shot. Model in natural confident pose showing complete garment silhouette. Clean studio backdrop, even lighting with parabolic softbox key and strip lights for edge definition. Camera: 70mm at f/5.6, waist height for accurate proportions. Model wears minimal clothing to keep focus on garment. NEGATIVE: No distortion, no uneven lighting."
服飾,clothing,common,通用場景,clothing_08_flat_lay_combo,平鋪搭配圖,Flat Lay Styling,1:01,light,"Fashion flat lay with complementary accessories. Garment arranged with shoes, bag, belt, jewelry in cohesive composition. Top-down 90° overhead shot with 35mm lens at f/8. Even lighting from rectangular softbox. Pleasing geometric pattern with intentional spacing. NEGATIVE: No cluttered arrangement, no inconsistent color palette."
服飾,clothing,common,通用場景,clothing_09_lifestyle,品牌氛圍圖,Brand Lifestyle,4:03,full,"Cinematic fashion lifestyle scene. Model in aspirational setting: minimalist apartment, sunlit garden, urban rooftop at golden hour. Wide-angle lens at f/4 with dramatic natural lighting. Color grading with warm tones. Clothing is star but environment tells story. High-end brand campaign aesthetic. NEGATIVE: No distracting elements, no harsh artificial lighting."
鞋子,shoes,common,通用場景,shoes_01_white_bg,白底主圖,White Background,1:01,none,"Professional footwear photography on pure white background. Shoe at 3/4 angle (45°) showing outer side profile clearly. Camera: 90mm lens at f/11 for front-to-back sharpness. Lighting: Dual softboxes at 45° for defined edges and clean highlights. Slight shadow beneath for grounding. Colors accurate, no color cast. NEGATIVE: No dust, no scuffs, no background gradient."
鞋子,shoes,common,通用場景,shoes_02_selling_points,賣點標註圖,Feature Highlights,1:01,none,"Footwear feature infographic. Callouts to: Upper material technology, Sole grip pattern and cushioning, Special design features (waterproof, breathable), Closure system quality. Dynamic angle on clean background with bold sporty typography. Even lighting for detail clarity. NEGATIVE: No text clutter, no inconsistent lighting."
鞋子,shoes,common,通用場景,shoes_03_detail_closeup,細節特寫,Detail Close-up,1:01,light,"Macro footwear detail photography. Focus on: Upper material texture and quality, Sole tread pattern and technology, Stitching precision and reinforcement, Logo embossing and branding. Camera: 100mm macro at f/5.6 with ring light for even illumination. Side spot at low angle for texture depth. NEGATIVE: No factory defects, no dust, no shallow depth of field."
鞋子,shoes,common,通用場景,shoes_04_size_reference,尺寸參考圖,Size Reference,1:01,none,"Shoe worn on foot for size reference. Both shoes on model's feet with pants visible for context. Clean floor surface, natural daylight. Camera: 85mm at f/4 from ankle height for accurate on-foot proportions. Sharp focus on shoes. NEGATIVE: No distortion, no inconsistent sizing."
鞋子,shoes,common,通用場景,shoes_05_daily_scene,日常場景,Daily Life Scene,4:03,full,"Lifestyle footwear photography. Person walking on clean sidewalk, shot from knee-down focusing on shoes in motion. Camera: 85mm at f/2.8, low 30° angle from ground. Natural daylight with soft shadows, urban background pleasantly blurred. Dynamic movement frozen. NEGATIVE: No harsh shadows, no cluttered background."
