品類,品類英文,子分類,子分類名,模板ID,模板名稱,英文名稱,比例,風格注入等級,提示詞
包包,bags,crossbody,斜背包,bag_cross_02_strap_detail,肩帶細節,Strap Detail,1:01,light,"Close-up macro photography of this crossbody bag's adjustable strap and hardware details. Focus on the metal buckle, adjustment slider, lobster clasp, and strap stitching. Show the strap material texture and the smoothness of the metal finishing. Shot with a 100mm macro lens at f/4 with shallow depth of field. Directional side lighting from the right at a low 20-degree angle to reveal surface textures and metallic reflections. Clean neutral gray background. The image communicates adjustability, durability, and premium hardware quality. Professional product detail photography."
包包,bags,crossbody,斜背包,bag_cross_03_phone_access,隨手取物,Quick Phone Access,3:04,full,"A person wearing this crossbody bag across their body, one hand reaching into the open bag pulling out a smartphone, demonstrating easy and quick access while on the go. The bag flap or zipper is open showing the organized interior with wallet and keys visible inside. Shot at eye level from a slightly side angle, using a 50mm lens at f/3.5. Bright, airy indoor environment with soft natural window light. The person is standing in a casual pose, conveying convenience and practicality. Focus is sharp on the hand, phone, and bag opening. Lifestyle photography that communicates everyday functionality."
包包,bags,crossbody,斜背包,bag_cross_04_outfit_match,穿搭搭配,Outfit Matching,4:03,full,"A triptych layout showing this crossbody bag styled with three distinct outfits: 1) Casual look with jeans, white t-shirt, and sneakers. 2) Smart casual look with tailored trousers, a button-down shirt, and loafers. 3) Sporty athleisure look with joggers, hoodie, and running shoes. Each panel shows a model from waist to knees with the crossbody bag prominently displayed. Clean light gray studio backdrop, consistent soft box lighting at 5500K across all three panels. Shot at f/5.6 with an 85mm lens for consistent perspective. The layout demonstrates the bag's versatility across different personal styles."
包包,bags,crossbody,斜背包,bag_cross_05_travel_light,輕旅行,Travel Light,4:03,full,"A traveler wearing this crossbody bag in a transit setting: standing at a train station platform, boarding a bus, or walking through an airport terminal. The bag is worn across the body for hands-free convenience, with a carry-on suitcase nearby. Shot from a medium distance at a natural eye-level angle. Bright ambient overhead lighting mixed with natural daylight from large windows. The scene conveys mobility, lightness, and travel readiness. Shot at f/4 with a 35mm lens to capture the full scene with context. The crossbody bag stands out through sharp focus and color contrast against the background."
包包,bags,backpack,後背包,bag_bp_01_back_view,背面展示,Back View,3:04,full,"A model photographed from behind, wearing this backpack with both straps on. Full back view from head to mid-thigh showing how the backpack sits on the body. The straps are properly adjusted, and the backpack fits snugly against the back. Clean studio backdrop in light gray or beige. Fashion lighting with a large key softbox directly in front of the model, illuminating the backpack from behind via wraparound, plus two edge lights creating bright rim highlights on the bag's sides. Shot at f/5.6 with a 70mm lens at torso height. The model wears minimal dark clothing to keep focus on the backpack."
包包,bags,backpack,後背包,bag_bp_02_compartments,分層展示,Compartment Showcase,1:01,light,"This backpack shown fully opened with all compartments and pockets unzipped and spread out. The main compartment, front pocket, side pockets, and any hidden compartments are all visible. Each section contains representative items: laptop in the padded sleeve, books in the main area, pens and phone in the organizer pocket, water bottle in the side pocket. Shot from a 45-degree elevated angle on a clean white surface. Bright overhead lighting with two side fill lights to illuminate every compartment interior. Shot at f/8 with a 35mm lens to capture the full spread. The image clearly communicates the backpack's organizational capacity."
包包,bags,backpack,後背包,bag_bp_03_commute,通勤場景,Urban Commute,3:04,full,"A professional person wearing this backpack while walking briskly through a modern urban setting. The scene shows a clean city sidewalk with glass office buildings in the background. Morning commute lighting with warm golden sunlight at a low angle creating long shadows. The model wears business casual attire with the backpack on both shoulders. Shot from a three-quarter front angle at waist height, showing the backpack's profile. Use a 50mm lens at f/2.8 for pleasant background bokeh that suggests the urban environment. The image conveys a polished, productive urban lifestyle. Dynamic walking pose with confident stride."
包包,bags,backpack,後背包,bag_bp_04_laptop_fit,筆電收納,Laptop Fit,4:03,full,"A person sliding a 15-inch laptop into the dedicated padded laptop compartment of this backpack. The backpack is standing upright on a clean desk surface with the laptop sleeve unzipped and open. The laptop is halfway inserted, showing the protective padding and snug fit. Shot from a side angle at desk height to clearly show the insertion action. Bright, even lighting from an overhead softbox with a side fill card. Shot at f/5.6 with an 85mm lens. Focus is tack-sharp on the laptop, bag compartment, and the person's hands. The image clearly demonstrates the backpack's laptop protection capability."
包包,bags,backpack,後背包,bag_bp_05_outdoor_hike,戶外健行,Outdoor Hiking,3:04,full,"A hiker wearing this backpack on a scenic nature trail surrounded by lush green trees and mountain views. The model is walking along a well-maintained dirt path, photographed from behind at a slight angle. Natural golden hour sunlight filtering through tree canopy creates dappled light patterns. The backpack is the sharpest element against the softly blurred natural landscape. Shot at f/4 with a 70mm lens from a low angle to make the scene feel expansive. The image conveys adventure, freedom, and the backpack's outdoor durability. Warm, natural color tones with vibrant greens in the background."
包包,bags,handbag,手提包,bag_hb_01_arm_carry,手挽展示,Arm Carry,3:04,full,"An elegantly dressed model carrying this handbag on the crook of her arm in a classic pose. Shot from waist to knees, focusing on the arm and handbag with the model's body providing context. Clean, minimalist studio background in soft cream or light gray. Key light from a large octabox at 45 degrees camera left, with a silver reflector on the opposite side. The model wears a tailored coat or blazer in a complementary solid color. Shot at f/3.5 with a 85mm portrait lens. The handbag's shape, handle, and structure are clearly visible. The image exudes sophistication and timeless elegance."
包包,bags,handbag,手提包,bag_hb_02_desk_place,辦公桌擺放,Office Desk Placement,4:03,full,"This handbag placed gracefully on a clean, modern executive office desk. The bag is positioned on one side of the desk, with a slim laptop, a coffee cup in a ceramic saucer, and a small potted plant providing workplace context. Large window with natural daylight from the left side casting soft directional shadows. The desk surface is light wood or white with minimal clutter. Shot at a 30-degree elevated angle with a 50mm lens at f/4. The handbag is the hero item, sharply focused with warm ambient tones. Professional lifestyle photography conveying a successful work-life aesthetic."
包包,bags,handbag,手提包,bag_hb_03_evening,晚宴場景,Evening Scene,4:03,full,"This handbag in an elegant evening dining setting. The bag rests on a white linen tablecloth beside a fine dining place setting with crystal glassware and candlelight. Warm, ambient lighting from candles and soft overhead downlights at a low color temperature of 3200K. The scene conveys luxury, romance, and sophistication. Shot at f/2.8 with a 50mm lens from a slightly low angle to elevate the bag's presence. Shallow depth of field with the glassware and background softly blurred. Rich warm tones with subtle golden highlights on the bag's hardware. Evening occasion lifestyle photography for a premium handbag."
包包,bags,handbag,手提包,bag_hb_04_interior,內裝展示,Interior Display,1:01,light,"This handbag shown wide open from above, revealing the interior lining, pockets, and organizational features. The bag is propped open with a support to show maximum internal space. Interior details are clearly visible: lining fabric pattern, zippered inner pocket, card slots, and key clip. Shot from directly above at 90 degrees on a clean white surface. Bright, shadowless lighting from a large overhead diffusion panel with two side fill lights angled inward. Shot at f/8 with a 50mm lens for edge-to-edge sharpness. Colors of the interior lining and hardware are accurately rendered. Professional product photography that communicates craftsmanship and practical design."
包包,bags,handbag,手提包,bag_hb_05_color_options,色系展示,Color Options,4:03,none,"Three to four color variants of this handbag displayed together in a curated arrangement. The bags are positioned in a staggered diagonal line or gentle arc on a clean white surface. Each bag is at a slightly different angle to show dimensionality. Consistent, even studio lighting from a large overhead softbox ensures accurate color reproduction across all variants. Shot at f/8 with a 50mm lens from a 30-degree elevated angle. Color temperature precisely at 5500K for true-to-life colors. The composition is balanced and visually appealing, conveying variety and style choices. Professional product line photography for e-commerce catalog."
飾品,jewelry,common,通用場景,jewelry_01_white_bg,白底主圖,White Background,1:01,none,"Place this jewelry on a pure white background (RGB 255,255,255). Professional jewelry photography with precise studio lighting using soft boxes and reflectors. The jewelry should be centered, showing maximum sparkle and reflections. Slight natural shadow for depth. Ultra-sharp focus on every facet and detail. Shot at f/11 for maximum depth of field with a 100mm macro lens. Commercial e-commerce quality, the piece occupies about 80% of the frame."
飾品,jewelry,common,通用場景,jewelry_02_selling_points,賣點標註圖,Feature Highlights,1:01,none,"Create a professional jewelry infographic for this piece. Show the jewelry at a slight angle on a clean white background. Add elegant thin callout lines pointing to 3-4 key features: the gemstone type and quality, the metal material (e.g. 925 silver, 18K gold), the clasp/closure mechanism, and any special craftsmanship details. Each callout has a minimal icon and short text in an elegant serif font. Use dual soft box lighting at 45-degree angles for even, shadow-free illumination. Luxury aesthetic with balanced, airy composition."
飾品,jewelry,common,通用場景,jewelry_03_macro_detail,細節特寫,Macro Detail,1:01,light,"Extreme macro close-up of this jewelry piece at very high magnification. Show the intricate details: gemstone facets catching light, metal surface finish and polish, precise setting work and prong details. Shot with a dedicated macro lens at 1:1 magnification and focus stacking for edge-to-edge sharpness. Dramatic side lighting from a focused spot at a low 15-degree angle to emphasize texture and depth. Aperture at f/8 for optimal sharpness. The level of detail should showcase exceptional craftsmanship."
飾品,jewelry,common,通用場景,jewelry_04_size_reference,尺寸參考圖,Size Reference,1:01,none,"This jewelry piece worn on a person to demonstrate its actual size and proportion. Close-up shot showing the jewelry on skin (finger, wrist, neck, or ear depending on type). Clean, uncluttered background. Soft natural lighting on the skin. The focus is on showing how the piece looks in terms of scale relative to the body. Shot at f/4 with a 85mm portrait lens to gently blur skin texture while keeping the jewelry tack-sharp. Elegant and natural pose, no distracting elements."
飾品,jewelry,common,通用場景,jewelry_05_model_wearing,模特佩戴,Model Wearing,3:04,full,"A beautiful model elegantly wearing this jewelry piece. Close-up portrait from shoulders up, the jewelry is the clear focal point. Soft, flattering studio lighting with a clean neutral background. Use a key light with a large octabox at 45 degrees and a fill reflector opposite for gentle contouring. Shot at f/2.8 with a 105mm lens for flattering compression and shallow depth of field on the model. Fashion editorial style. The model wears minimal makeup and simple clothing to keep attention on the jewelry. The image conveys elegance and sophistication."
飾品,jewelry,common,通用場景,jewelry_06_outfit_scene,穿搭場景,Outfit Styling,4:03,full,"This jewelry styled with a fashionable outfit in a lifestyle setting. Show a person wearing the jewelry while dressed in an elegant outfit: a silk blouse, knit sweater, or little black dress. The setting is a bright, well-decorated room or outdoor cafe. Shoot from a slightly elevated three-quarter angle to capture both the jewelry and outfit context. Lifestyle photography that helps buyers visualize daily wear. Warm, natural lighting with fashion magazine aesthetic, using a large diffusion panel to soften direct sunlight."
飾品,jewelry,common,通用場景,jewelry_07_gift_box,禮盒搭配,Gift Box Pairing,1:01,full,"This jewelry presented in or beside an elegant jewelry gift box with satin ribbon. Gift-giving concept with romantic, luxurious styling. Soft diffused lighting from an overhead strip softbox angled at 30 degrees, with a small accent light to add sparkle to the jewelry. Subtle props like dried flowers or rose petals. The box is open showing the jewelry nestled in cushion. Camera positioned at a 30-degree overhead angle, shot at f/5.6 for balanced depth of field. Perfect for conveying 'ready to gift' - ideal for holidays and special occasions. Premium packaging photography aesthetic."
飾品,jewelry,common,通用場景,jewelry_08_collection,多件展示,Collection Display,1:01,light,"This jewelry piece as the centerpiece, artfully arranged with complementary pieces (matching earrings, bracelet, ring, or necklace) in a curated collection layout. Clean white or soft gray surface. Organized, symmetrical arrangement. Overhead shot taken directly at 90 degrees with a 50mm lens at f/8 showing how pieces complement each other. Professional jewelry collection photography with even, shadowless lighting from a large overhead diffusion panel."
飾品,jewelry,common,通用場景,jewelry_09_lifestyle,品牌氛圍圖,Brand Lifestyle,1:01,full,"This jewelry in a dreamy, luxurious vanity table setting. Styled with a perfume bottle, fresh peonies or roses, a small mirror, and soft fabric like silk or velvet. Warm golden hour lighting creating a romantic, feminine atmosphere, enhanced with a warm-toned LED panel at low intensity as fill light. The jewelry catches beautiful light reflections. Shot at f/2.8 with a 50mm lens from a low 20-degree angle to create an intimate, immersive perspective. Instagram-worthy lifestyle photography that conveys luxury and romance."
飾品,jewelry,necklace,項鏈,jewel_neck_01_wearing,佩戴展示,Necklace Wearing,3:04,full,"Close-up of a model wearing this necklace, framing from chin to upper chest. The necklace drapes naturally along the collarbone and neckline. The model wears a simple off-shoulder or V-neck top in a neutral solid color. Soft, flattering key light from a large octabox positioned high at 45 degrees camera right. A silver reflector on the left gently fills shadows on the skin. Shot at f/3.5 with a 105mm macro lens for beautiful compression and shallow depth of field. Skin tones are warm and natural, the necklace is tack-sharp with visible sparkle. Elegant jewelry portrait photography emphasizing how the piece enhances the wearer."
飾品,jewelry,necklace,項鏈,jewel_neck_02_layering,疊戴搭配,Necklace Layering,3:04,full,"A model wearing this necklace layered with two to three complementary necklaces at different lengths. Close-up from shoulders up, showing the layering effect with chains at choker, princess, and matinee lengths. The hero necklace is the most prominent piece, with the others providing complementary accent. Clean neutral studio background in soft beige. Dual soft box lighting at 45 degrees on each side for even, sparkle-enhancing illumination. Shot at f/4 with a 85mm lens, focus precisely on the main necklace with slight softness on others. Fashion editorial style showcasing modern layering trends. The image inspires buyers to create their own layered necklace combinations."
飾品,jewelry,necklace,項鏈,jewel_neck_03_pendant_detail,墜飾特寫,Pendant Close-up,1:01,light,"Extreme macro close-up of this necklace's pendant, filling 90% of the frame. Show the intricate details of the pendant: engraving patterns, gemstone setting, metal finish, and the bail connecting the pendant to the chain. Shot at 1:1 magnification with a dedicated macro lens and focus stacking for complete sharpness. Dramatic spot lighting from the upper right at a 30-degree angle to create depth and highlight facets. A small reflector card on the left prevents total shadow. Dark charcoal background to make the pendant pop. The level of detail makes the craftsmanship unmistakable. Professional macro jewelry photography."
飾品,jewelry,necklace,項鏈,jewel_neck_04_occasion,場合搭配,Occasion Styling,4:03,full,"A split-image showing this necklace styled for two different occasions. Left panel: the necklace worn with a casual daytime outfit - a linen shirt or cozy knit sweater, in a bright cafe or park setting with natural daylight. Right panel: the same necklace with an elegant evening outfit - a black dress or silk camisole, in a dimly lit restaurant with warm candlelight ambiance. Both panels show the model from shoulders up with the necklace as the focal point. Shot at f/4 with a 70mm lens, consistent composition across both panels. The image demonstrates the necklace's versatility from day to night."
飾品,jewelry,necklace,項鏈,jewel_neck_05_packaging,精美包裝,Elegant Packaging,1:01,full,"This necklace beautifully presented inside an open velvet jewelry box. The necklace is arranged in a gentle curve on the satin cushion lining, showing its full length and pendant. The box lid is propped open at a 45-degree angle, displaying a branded interior. A small satin ribbon and dried flower sprig beside the box for gift-giving atmosphere. Shot from a 40-degree overhead angle on a clean cream surface. Soft directional lighting from the upper left using a strip softbox with a warm accent light for sparkle. Shot at f/5.6 with a 50mm lens. Premium unboxing photography that conveys luxury gifting experience."
飾品,jewelry,ring,戒指,jewel_ring_01_hand_pose,手部展示,Hand Pose,1:01,full,"Close-up of a model's hand wearing this ring in an elegant, natural pose. The hand is gracefully positioned - perhaps resting on a silk fabric surface or lightly touching the collarbone. Soft, warm skin tones with the ring catching beautiful highlights. Shot with a 100mm macro lens at f/3.5 for shallow depth of field, with the ring in tack-sharp focus. Key light from a large softbox at 60 degrees camera right, with a small reflector card below the hand for fill. Clean, minimalist background in soft beige or white. Well-groomed nails with a subtle nude polish complement the ring. Jewelry hand model photography with an intimate, refined aesthetic."
飾品,jewelry,ring,戒指,jewel_ring_02_stacking,疊戴效果,Ring Stacking,1:01,full,"A model's hand wearing this ring stacked with two to three complementary rings on adjacent fingers. The hero ring is on the ring finger, with thinner bands on the index and middle fingers. The hand is held slightly raised with fingers gently spread to show each ring clearly. Clean light gray studio background. Dual soft spot lights at 45 degrees on each side for even illumination with sparkle. Shot at f/4 with a 100mm macro lens for beautiful subject isolation. Focus is sharpest on the hero ring with a gentle fall-off on adjacent rings. Modern jewelry styling trend photography that encourages buyers to mix and match."
飾品,jewelry,ring,戒指,jewel_ring_03_stone_detail,寶石特寫,Gemstone Close-up,1:01,light,"Ultra-macro close-up of this ring's gemstone and its setting, filling the entire frame. Show the stone's facets catching and refracting light into prismatic sparkles. The prong or bezel setting metalwork is visible in extreme detail. Shot with a macro lens at greater than 1:1 magnification with multi-frame focus stacking. A precisely aimed fiber optic spot light from the upper right creates dramatic brilliance in the stone. A secondary diffused fill from the left prevents harsh shadows on the metal setting. Dark background to maximize the stone's fire and brilliance. The image conveys the stone's quality and the precision of the setting craftsmanship."
飾品,jewelry,ring,戒指,jewel_ring_04_couple,對戒展示,Couple Rings,1:01,full,"Two matching rings displayed as a couple or wedding set. One ring leaning against the other on a smooth white marble surface, positioned to show that they are a harmonious matching pair. Soft romantic lighting with a warm color temperature of 4500K. A subtle diffused spot light from above creates a gentle glow on the metal surfaces. Dried baby's breath flowers and a silk ribbon in the background for romantic atmosphere. Shot at f/5.6 with a 100mm macro lens from a low 15-degree angle to emphasize the pairing. Warm, intimate mood lighting that evokes love and commitment. Premium wedding jewelry photography."
飾品,jewelry,ring,戒指,jewel_ring_05_comparison,尺寸對比,Size Comparison,1:01,none,"This ring placed next to a standard coin for precise size reference. Both items are placed on a clean white surface, shot from directly above at 90 degrees. The ring and coin are positioned side by side with a small gap between them. Bright, even overhead lighting from a large diffusion panel for accurate detail rendering. A subtle ruler or millimeter scale graphic visible at the bottom edge of frame for exact measurement. Shot at f/11 with a 100mm macro lens for maximum sharpness on both objects. Color accuracy is critical, no color cast. Clean, informational product photography for accurate online size communication."
飾品,jewelry,earring,耳環,jewel_ear_01_profile,側臉展示,Profile View,3:04,full,"A model photographed in profile view, showing this earring worn on the visible ear. The frame captures from the top of the head to the shoulder, with the earring as the focal point. Hair is tucked behind the ear or styled in an updo to fully reveal the earring. Clean studio background in soft neutral gray. Key light from a large beauty dish at 45 degrees camera right, sculpting the profile and highlighting the earring. A rim light from behind separates the model from the background. Shot at f/2.8 with a 85mm portrait lens for beautiful subject isolation. The earring is the sharpest element, catching brilliant highlights. Elegant fashion editorial jewelry portrait."
飾品,jewelry,earring,耳環,jewel_ear_02_pair_display,對稱展示,Symmetrical Pair Display,1:01,none,"A matching pair of these earrings displayed symmetrically on a clean surface. Both earrings are placed side by side with perfect mirror symmetry, hooks pointing outward. Smooth white marble or matte cream surface as the base. Overhead studio lighting from a large diffusion panel directly above for even, shadow-free illumination. A small accent light at a low angle from the front adds sparkle to gemstones or metal. Shot at f/8 with a 100mm macro lens from directly above at 90 degrees. The pair fills about 70% of the frame, perfectly centered. Clean, precise product photography showcasing the pair's matching symmetry and design."
飾品,jewelry,earring,耳環,jewel_ear_03_dangle_motion,動態垂墜,Dangle Motion,3:04,full,"A dangling earring captured in gentle motion, showing a subtle motion blur on the lower elements while the ear post and upper section remain sharp. The model has just turned her head slightly, causing the earring to sway. Close-up framing on the ear and earring from a three-quarter angle. Shot at a slower shutter speed of 1/60s with a 85mm lens at f/3.5. Soft studio lighting with a key light from the left and hair light from behind for rim separation. The slight motion blur on the dangle conveys movement, lightness, and playful elegance. Hair pulled back with a few loose strands for a natural, dynamic feel. Fashion-forward jewelry photography with a sense of life and movement."
飾品,jewelry,earring,耳環,jewel_ear_04_hair_style,髮型搭配,Hairstyle Pairing,3:04,full,"A model with an elegant updo hairstyle wearing this earring, photographed from a rear three-quarter angle. The hair is swept up in a low bun or French twist, fully exposing the ear and earring. The earring is the sharpest element in the frame, catching light beautifully. The updo hairstyle and the nape of the neck provide elegant context. Soft key light from a large octabox at 60 degrees camera left for flattering illumination. A warm-toned rim light from behind highlights the hair texture and earring edge. Shot at f/3.5 with a 105mm lens for intimate compression. Clean studio backdrop in warm taupe. The image conveys sophistication and inspires formal styling ideas."
飾品,jewelry,earring,耳環,jewel_ear_05_mirror,鏡面反射,Mirror Reflection,1:01,full,"This earring displayed next to a small round vanity mirror, showing both the actual earring and its reflection for a dual-angle view. The earring is placed on a smooth surface beside the mirror, angled so the reflection shows a different perspective. The actual earring shows the front face; the mirror reveals the side or back design. Soft, diffused overhead lighting with a small spot accent to create sparkle in both the earring and its reflection. Shot at f/5.6 with a 85mm lens from a 30-degree elevated angle. Clean, minimal styling with a soft fabric surface beneath. Creative product photography that cleverly shows multiple angles in a single frame. Warm, inviting tones with a hint of luxury vanity aesthetic."
服飾,clothing,common,通用場景,clothing_01_white_bg,白底主圖,White Background,3:04,none,"This clothing item displayed on a pure white background. Professional e-commerce flat lay or ghost mannequin photography. The garment is neatly arranged showing its full shape and design. Crisp studio lighting with dual strip softboxes at 45 degrees for even, wrinkle-free illumination. Centered composition, the clothing occupies about 85% of the frame. Shot overhead at 90 degrees with a 50mm lens at f/8 for maximum sharpness. Ultra-clean, commercial quality fashion photography."
服飾,clothing,common,通用場景,clothing_02_selling_points,賣點標註圖,Feature Highlights,3:04,none,"Create a professional fashion infographic for this clothing item. Display the garment on a clean white background with elegant callout lines pointing to 3-4 key features: fabric composition and feel, special design details (collar, buttons, pockets), fit and cut style, and any functional features (stretch, waterproof, pockets). Modern minimalist design with clean typography. Lit with a large overhead softbox for flat, shadow-free detail rendering. Style reference: Uniqlo or Muji product detail page."
服飾,clothing,common,通用場景,clothing_03_detail_closeup,細節特寫,Fabric & Detail Close-up,1:01,light,"Extreme close-up of this clothing item showing fabric texture and construction quality. Multiple detail zones: fabric weave/knit texture, stitching quality, button or zipper hardware, collar/cuff finishing. Macro photography with a 100mm macro lens at f/5.6, sharp focus revealing material quality. Directional side lighting from a focused spot at a low angle to emphasize weave texture and thread detail. Professional product photography lighting that emphasizes texture. The viewer should be able to appreciate the fabric quality."
服飾,clothing,common,通用場景,clothing_04_size_reference,尺寸版型圖,Size & Fit Guide,3:04,none,"This clothing item laid flat on a clean white surface with clear measurement reference points. Show the garment from the front with visual indicators for key measurements: shoulder width, chest width, body length, and sleeve length. Clean, diagram-like presentation with the garment neatly spread. A measuring tape or ruler visible for scale reference. Shot directly overhead at 90 degrees with a wide-angle lens at f/11 for corner-to-corner sharpness. Professional technical flat lay photography."
服飾,clothing,common,通用場景,clothing_05_daily_scene,日常穿搭,Daily Outfit,3:04,full,"A model wearing this clothing item in a casual daily setting: walking on a clean city street, sitting in a bright cafe, or at a modern office. Natural, relaxed pose that shows how the garment drapes and fits in real life. Natural daylight photography with soft shadows. Shot at f/2.8 with an 85mm lens for a pleasing background bokeh that isolates the model. Camera at eye level for a natural, relatable perspective. The outfit is styled with simple complementary pieces. Lifestyle fashion photography that helps buyers visualize wearing it."
服飾,clothing,common,通用場景,clothing_06_styled_scene,穿搭場景,Styled Look,3:04,full,"A fashion editorial style shot of a model wearing this clothing item as part of a complete, carefully curated outfit. The setting is a stylish location: rooftop, art gallery, or boutique hotel. Professional fashion photography with creative lighting using a key light with beauty dish and rim light for separation. Shot from a slightly low angle at f/4 with a 70mm lens to add presence and stature to the model. The image conveys a specific style mood: sophisticated, casual-chic, or trendy. Magazine-quality composition and color grading."
服飾,clothing,common,通用場景,clothing_07_model_front_back,正反面展示,Front & Back View,3:04,full,"A model showcasing this clothing item from the front view, standing with a natural, confident pose against a clean studio background. Full body shot from head to mid-thigh showing the complete garment silhouette. Even studio lighting with a large parabolic softbox as key and two strip lights for edge definition. Shot at f/5.6 with a 70mm lens at waist height for accurate body proportions without distortion. The model's pose clearly shows the fit, drape, and proportions of the garment. Professional fashion catalog photography."
服飾,clothing,common,通用場景,clothing_08_flat_lay_combo,平鋪搭配圖,Flat Lay Styling,1:01,light,"This clothing item in a stylish flat lay arrangement with complementary accessories: shoes, bag, belt, watch, sunglasses, and/or jewelry. Neatly arranged on a clean white or light wood surface. Top-down photography shot at exactly 90 degrees overhead with a 35mm lens at f/8. Cohesive color palette, fashion mood board aesthetic. Bright, even lighting from a large rectangular softbox directly above. Each item placed with intentional spacing."
服飾,clothing,common,通用場景,clothing_09_lifestyle,品牌氛圍圖,Brand Lifestyle,4:03,full,"A model wearing this clothing item in an aspirational lifestyle setting. The scene conveys the brand's aesthetic: could be a minimalist apartment, a sunlit garden, or an urban rooftop at golden hour. Cinematic color grading with warm tones. Shot at f/2.0 with a 50mm prime lens for a cinematic shallow depth of field. Camera positioned at a candid three-quarter angle to capture movement and atmosphere. The clothing is the star but the environment tells a story. High-end fashion brand campaign photography aesthetic."
